candidate_id,paper_title,proposed_slot,classified_slot,exclusions
sha256:5b997c427e02042b,Predict-then-optimize: LM-MTSF provides data-driven support for distributionally robust operation optimization of active distribution networks,decision_focused,decision_focused,insufficient_definition;no_coupling
doi:10.32604/ee.2026.079449,A Hybrid LSTM-FNN Framework for Safety-Constrained Energy Management in Mining Microgrids,direct_policy,direct_policy,insufficient_definition
doi:10.1016/j.suscom.2025.101162,Smart home Demand-Side Management Based on rooftop deep learning photovoltaic power forecasting,decision_focused,decision_focused,insufficient_definition;no_coupling
doi:10.1007/978-3-032-00303-4_12,A Deep Reinforcement Learning-Based Method for Economic Dispatch of Integrated Energy System,direct_policy,direct_policy,no_coupling
sha256:adafe897b670fe8d,Deep Reinforcement Learning-driven Cross-Community Energy Interaction Optimal Scheduling,direct_policy,direct_policy,no_coupling
doi:10.1016/j.apenergy.2023.121014,Renewable energy management in smart home environment via forecast embedded scheduling based on Recurrent Trend Predictive Neural Network,direct_policy,direct_policy,binary_only
sha256:3c30939e8293b667,Optimal scheduling of island integrated energy systems considering multi-uncertainties and hydrothermal simultaneous transmission: A deep reinforcement learning approach,direct_policy,direct_policy,no_coupling
doi:10.1049/iet-rpg.2018.5021,Non-deterministic optimal power flow considering the uncertainties of wind power and load demand by multi-objective information gap decision theory and directed search domain method,decision_focused,decision_focused,no_coupling
